Text,Language
Navê bavê min Şîno ye.,Northern Kurdish
Hûn ava dikin.,Northern Kurdish
Ew qirêj dixuye.,Northern Kurdish
Wî avêt.,Northern Kurdish
Gandai jau paplito.,Lithuanian
Jis visada realizuoja savo planus.,Lithuanian
"Man neatrodo, kad tai svarbu.",Lithuanian
"Panašu, kad Tomui viskas gerai.",Lithuanian
Tomas atrodo doras žmogus.,Lithuanian
o pana e ken ni tawa mi: mi pali e pali mi. ni li pona tawa sina anu seme?,Toki Pona
jan li utala e nasin sina.,Toki Pona
jan Ton li pana e suwi pan tawa mi. taso mi wile ala.,Toki Pona
open pi tenpo suno tu kama la ale li kama ante mute.,Toki Pona
mi mute li wile jo e suno lili sewi. ni li lawa e mi mute.,Toki Pona
"Vetem nje moment ne jeten time ishte i mjaftueshe per te njohur dhe dashur juve, por gjith jeta ime nuk do te jete e mjaftueshme per te te harruar .",Albanian
Nuk mund të bësh këtë!,Albanian
Linda ka për të të vrarë.,Albanian
Unë e urrej Vegeta,Albanian
Mua më pëlqen të mësoj gjuhë.,Albanian
我覺得所有嘢都係整定嘅。,Yue Chinese
我唔會輸嘅！,Yue Chinese
你去睇咗醫生未呀？,Yue Chinese
個董事長喺公司有少少地位，就以為自己好巴閉。,Yue Chinese
我唔記得咗鎖士多房道門。,Yue Chinese
Han var den eldste av tre barn av en kjøpmann.,Norwegian Bokmål
Jeg er på ingen måte rasist.,Norwegian Bokmål
Tom sier han må vente på Maria.,Norwegian Bokmål
Det er den mannen jeg så i går.,Norwegian Bokmål
Hva skal vi finne på etter skolen?,Norwegian Bokmål
nuqDaq ghaHtaH to'nIy'e',Klingon
cha' buqmey ghaj be'.,Klingon
tamDaq qaDor.,Klingon
bIlo'laHbe'.,Klingon
bIbuDqu'.,Klingon
"Kauf niå å Aktie, wenn du drnôch ned dômid läbå kôasch, wenn sich dr Kurs halbierd.",Swabian
Tom hôd 14 kg abgnommå.,Swabian
"Was i au en d'Hand nemm, dees glengd mir au.",Swabian
"I woiß jetzt, was Menschä vo Dierä onderschaided: Finanzielle Sorgä.",Swabian
An aldr Må hôd em Park schinesisĉes Schaddaboxå gmachd.,Swabian
Нямам идея кой е той.,Bulgarian
Някога чувал ли си някой да говори на френски?,Bulgarian
Аз имам трима пораснали синове.,Bulgarian
Момчето си изцапа ръцете.,Bulgarian
Кой иска малко ядки?,Bulgarian
طوم و صحابو راهوم يلّعبو في البوكير.,Algerian Arabic
وين لازم نتلاقاو؟,Algerian Arabic
قراو كتابها.,Algerian Arabic
واش جابك لهنا؟,Algerian Arabic
انڤليزي.,Algerian Arabic
Utarid ialah planet terkecil dalam sistem suria kita.,Standard Malay
Awak percaya kepada Tuhan?,Standard Malay
كامو موڠكين تاهو دماناكه بوكو ساي.,Standard Malay
"Bilamana seseorang itu diam, bukan bermakna dia tidak tahu.",Standard Malay
Dia menulis kepada saya sekali seminggu.,Standard Malay
El fala ben o inglés.,Galician
Espero que chegue un automóbil con batería solar.,Galician
Carol regresou ao hotel.,Galician
Meu irmán vai á universidade de Kobe.,Galician
Vou farto.,Galician
Ik mag de franzöösche Köök.,Low German
Wi hebbt över jem snackt.,Low German
Kannst du mi en Koort von diene Straat teken?,Low German
In de Hotelkamer leeg en Watermeloon op ’n Disch.,Low German
Dat Ies bröök ünner dat Wicht.,Low German
Kamu tahu apa yang mereka katakan tentang Mary.,Indonesian
Kota itu memiliki banyak jalan yang lebar.,Indonesian
Dia memiliki pengetahuan yang luas tentang bidang linguistik.,Indonesian
Kau tidak akan tiba di sana tepat waktu jika kau tidak buru-buru.,Indonesian
Dia menjalani tes pemeriksaan HIV.,Indonesian
Tôi đang đợi chuyến tàu.,Vietnamese
Tôi không nhớ chính xác.,Vietnamese
Tom lo tôi bị lạc đường.,Vietnamese
Anh ấy làm mọi thứ rất nhanh.,Vietnamese
Tôi chỉ hy vọng chúng ta không quá muộn.,Vietnamese
"Esce la corpo pote sani, an si la cor es malada?",Lingua Franca Nova
Nos es orgulosa de tu.,Lingua Franca Nova
Tom ta debe sabe.,Lingua Franca Nova
Esta restorante es sempre folida.,Lingua Franca Nova
Но красе ла формикас су туа педес.,Lingua Franca Nova
lo mi kanjunla cu spofu,Lojban
lo nu snuti cu jalge lo nu ko'a narviska'e,Lojban
xu do ca da klama de fo su'o vinji,Lojban
ca ma ra xrukla lo zdani,Lojban
la .tom. pu troci lo ka nurxrugau mi,Lojban
Мин Путиннан куркам.,Tatar
Мин намуслы кеше.,Tatar
Бер дә юкка тиргәп ташладыгыз мине.,Tatar
Игелекле эшнең киче юк.,Tatar
Тыныч йокы!,Tatar
אָט דאָס איז אַ פּענאַל.,Yiddish
זי רעדט צו שנעל.,Yiddish
די טעראָריסטן האָבן אַטאַקירט אַ מעטשעט.,Yiddish
עס איז רויט.,Yiddish
זאַמענהאָף איז געווען אַן אַשכּנזער.,Yiddish
Դու ինձ շատ մտահոգ ես թվում։,Armenian
Ժամը քանիսի՞ն ժամանեցիր Լոնդոն։,Armenian
Նրանք քայլեցին կամուրջի ուղղությամբ։,Armenian
Սա ի՞նչ գույն է։,Armenian
"Մենք գիտենք, որ Թոմը դա չի անի։",Armenian
Vu ha me nequande confidet.,Interlingue
It es un francesi parol.,Interlingue
Yo presc obliviat comprar lacte.,Interlingue
Yo ne fa to.,Interlingue
Li lettre esset scrit yer.,Interlingue
See on väga suur sotsiaalne probleem.,Estonian
Minu isa jalutab igal hommikul.,Estonian
Tema ei ole rikas ega kuulus.,Estonian
Te ei kutsunud mind.,Estonian
Ükskõik kes on parem kui mitte keegi.,Estonian
ئىشتىن كىين ئەقىللىق بولماق ئاسان.,Uighur
ئاستا ھەيدە.,Uighur
ئارىمىزدا قىز يوق.,Uighur
ياخشى قىلدىڭ.,Uighur
ماڭا ماشىنا لازىم.,Uighur
Ta dale yo comé de mio gato todo'l ága y todo'l noche.,Chavacano
Tiene silá grande casa.,Chavacano
Ya abrí tu cunel puerta.,Chavacano
Ya tomá le leche.,Chavacano
Por que necesita yo andá na escuela?,Chavacano
Треба да се извините.,Serbian
Том каже да има све што му је потребно.,Serbian
Много ти хвала за ову информацију!,Serbian
Doktori mi nisu ponudili ništa drugo osim tableta za spavanje.,Serbian
Prelazak sa jednog nivoa razvoja na sledeći je često praćen uznemirenošću.,Serbian
ტომი და მერი უკვე იცნობენ ერთმანეთს.,Georgian
შენ ხარ ძალიან ხმაურიანი.,Georgian
სერიოზულად?,Georgian
ძალიან ბედნიერი ვარ ჯორჯიაში.,Georgian
მეგობრობის სადღეგრძელო დავლიოთ!,Georgian
Ayanna dagiti gagayyemtayo?,Iloko
Agsubliak met la a dagus.,Iloko
Maul-ulawak.,Iloko
Nakasagang kadagiti saan a ninamnama a lapped.,Iloko
Nasken a makasinnarakka idiay.,Iloko
شیراز شهر گل و بلبل و شعر است.,Iranian Persian
سلام. آیا شما آقای اوگاوا هستید؟,Iranian Persian
او چهار بچه برای سرپرستی دارد.,Iranian Persian
باید هوشیار بود.,Iranian Persian
من می دانم، که آن چیست.,Iranian Persian
Hur säger du det på italienska?,Swedish
Sänd fakturan till min adress.,Swedish
Var ligger den italienska ambassaden?,Swedish
Minns du första gången vi åkte till Boston tillsammans?,Swedish
Kan du skriva skrivstil?,Swedish
vad händer?,Sweedish
hur står det till?,Sweedish
du kan göra det du kan skicka toefl du kan skicka gmat du får det kom igen.,Sweedish
och du vet att den bästa delen av det var när jag var i min bröllopsklänning som var av guld också såklart alla stirrade bara på mig narcisa det finns inget fantastiskt med den drömmen.,Sweedish
"Ett meritsystemverktyg skulle kunna motivera till meningsfulla redigeringar, men kan även ge upphov till konkurrens.",Sweedish
У Фадзіля стралялі некалькі разоў.,Belarusian
Мы для гэтага застарыя.,Belarusian
Соня з Дашай зарэгістравалі шлюб у Партугаліі.,Belarusian
Я магу пазычыць гэты парасон?,Belarusian
Няхай мох пакрые маю магілу.,Belarusian
"Hə, artıq başlayıb.",Azerbaijani
Siz mənim dediyimə fikir vermirsiniz. Sizin fikriniz başqa yerdədir.,Azerbaijani
Бу лүғәтдир?,Azerbaijani
Tom mənə harada yaşadığını demədi.,Azerbaijani
Toma nəsə lazımdır.,Azerbaijani
Znajośo mě?,Lower Sorbian
Cakajśo!,Lower Sorbian
Som śi z wjelikim gólcom wiźeł.,Lower Sorbian
Toś ten wuž njejo gadojty.,Lower Sorbian
Wón jo wó swójom starstwje łdgał.,Lower Sorbian
Áttu við þetta?,Icelandic
Hvert er hitastigið?,Icelandic
Mér leiðist.,Icelandic
Þú ættir að læra að hafa hemil á sjálfum þér.,Icelandic
Það hefur hlýnað umtalsvert.,Icelandic
衢往右。,Literary Chinese
古今前後一也。,Literary Chinese
宜乎哉。,Literary Chinese
君子有三思而不可不思也：少而不學，長無能也；老而不教，死無思也；有而不施，窮無與也。,Literary Chinese
短綆不可以汲深井之泉，知不幾者不可與及聖人之言。,Literary Chinese
Espera fins al final!,Catalan
Al llit on dorm la meva xicota no fa fred.,Catalan
A la mare li agrada el fill.,Catalan
No ho he dit pas.,Catalan
Quan li va ocòrrer a ella l'accident?,Catalan
وہ میری زندگی کے سب سے غمگین لمحے تھے۔,Urdu
میرے دادا اور دادی دونوں فوت ہو چکے ہیں۔,Urdu
یہ کافی اچھا سوال ہے۔,Urdu
وہ عجائب گھر کس نے ڈیزائن کیا ہے؟,Urdu
ٹام ہیٹر ٹھیک کر سکتا ہے۔,Urdu
"W sewjerje zymy su dołhe, ale lěća - krótke.",Upper Sorbian
To su moje dźěći.,Upper Sorbian
Kak so twoja mandźelska wjedźe?,Upper Sorbian
Sym kluč zhubiła.,Upper Sorbian
Moja mać hidźi telewizu.,Upper Sorbian
侬必须马上开始。,Wu Chinese
走过去一眼！,Wu Chinese
我从此再也呒没见过伊了。,Wu Chinese
萝卜青菜，个人心爱。,Wu Chinese
侬记勿记得以前见过我？,Wu Chinese
Semi gapyny ýapmak üçin yzyna öwürildi.,Turkmen
Bu çendenaşa tiz.,Turkmen
"Tom bilen Mery gaty aç däl, şeýle dälmi?",Turkmen
Men muny düşündirerin birden düşünmeseñ.,Turkmen
Men sürmegi öwrenip ýörün.,Turkmen
እንግሊዝኛን እየተማርኩ ነው።,Amharic
እኔ ከቶክዮ ነኝ።,Amharic
በአሁኑ ወቅት ቡርጅ ከሊፋ የአለማችን ረጅሙ ሰማይ ጠቀስ ሕንጻ ነው።,Amharic
ስሜ አሕመድ ነው።,Amharic
ልጁ ይህች ቆንጆ ልጃገረድን ይወዳል።,Amharic
"Ekserî gençlerimiz gibi mektebden çıkar çıkmaz kitapları peygûle-i nisyâna atacak yerde, tevsî-i malûmata mektebden sonra başladım.",Ottoman Turkish (1500-1928)
یاڭلیش بر شیئلر اولییوردی.,Ottoman Turkish (1500-1928)
Tom'dan hassaten haz etmiyorum.,Ottoman Turkish (1500-1928)
Erkekler tenâsül uzuvları ile iftihâr eder.,Ottoman Turkish (1500-1928)
Bu infilâk-ı latîf-i esirînin müezzin-i hatifîsi sadâ yerine kâim ma'na-yı bî-hurûfuyla ezân-ı İsrafilîyi okuyordu.,Ottoman Turkish (1500-1928)
Musikolohista si Adil na Kazakh.,Tagalog
May mga parol na kulay ubeng nakabitin sa hardin.,Tagalog
May nagbukas ng pinto.,Tagalog
Malalampasan natin ito.,Tagalog
Palagay ko'y gutom ka.,Tagalog
Застѫпилъ ми пѫть.,Old Russian
Голодьнъ ли єси?,Old Russian
Вьсе бъıло красьно.,Old Russian
Изнємогли єсмъ сѧ.,Old Russian
Чєловѣкъ єсмь а ничьто жє ми чєловѣчьскоѥ нє чюжє.,Old Russian
हम सूरज के डूबने से पहले अपनी मंजिल तक पहुँच जाएँगे।,Hindi
टॉम और मैरी आपके जवाब का इंतज़ार कर रहे हैं।,Hindi
मैं मौत से डरता हूँ।,Hindi
वे छिपाएंगे।,Hindi
उसके पिताजी कौन हैं?,Hindi
Res o dhodho gortos yn gweli.,Cornish
Hi yw ow hwor.,Cornish
Yw homma agas pluven?,Cornish
Seytek bloodh yw ow howethes.,Cornish
Nyns yw da genev glanhe.,Cornish
Andifuni nto.,Xhosa
Bangaphi abantu abafunda iphephandaba?,Xhosa
Ndingutata wakho.,Xhosa
Iphi ikepusi kaJabu?,Xhosa
Ndixakeke kakhulu ukuba ndingaphendula ifowuni.,Xhosa
Hura etera itzuli zen denbora asko pasa ondoren.,Basque
Uagadugu Burkina Fasoren hiriburua da.,Basque
Umea amaren oso antzekoa da.,Basque
Hori zurea da?,Basque
Zertan ari zara lanean?,Basque
Cé leis é?,Irish
Ní stopann sé.,Irish
Chodail siad.,Irish
Is tusa cara Tomás.,Irish
Is leabhar é seo.,Irish
Кушака туп.,Chuvash
Ку мана питӗ килӗшет.,Chuvash
"Эпӗ вилӗмрен хӑрамастӑп. Вилӗм килсессен эпӗ пулмастӑп, эпӗ пулнӑ чух вара, вилӗм ҫук Эпикур тесе калатчӗ.",Chuvash
Эпир ҫынсем ҫак вӗҫӗмсӗр тӗнчере пӗччен-и?,Chuvash
Ҫак районта пурӑнатӑн и?,Chuvash
Que'vs prègui d'arrevirar aqueste tèxte japonés en francés.,Occitan (post 1500)
N'ei pas un escrivan tan bon qu'aquò e pensi qu'ac sap.,Occitan (post 1500)
Quins espòrts t'agradan ?,Occitan (post 1500)
"Anatz-i, vos prègui.",Occitan (post 1500)
Mon pair es pas a casa.,Occitan (post 1500)
Me respektas ilua decido.,Ido
Ka tu povus helpar me?,Ido
Ube esas la maxim proxim apoteko?,Ido
Tu esas belega papiliono.,Ido
"Ilu ne esis che su, tam ofte esas la kazo pri lu.",Ido
Арака шуко еҥым шолдырта.,Eastern Mari
Юмо тиде сандалыкым куд кечышкен ыштен.,Eastern Mari
"Мылам садиктак, мом тудо манын.",Eastern Mari
Мый ом кае.,Eastern Mari
Кугыжан эргыже кожлаште йомын.,Eastern Mari
Qhov no yog tsheb loj tshaj nyob lub ntiaj teb.,Hmong Daw
Kuv tuaj tim Russia tuaj.,Hmong Daw
Tus txiv neej no yog Neeg Suav.,Hmong Daw
"Yog koj tshaib plab, ces noj.",Hmong Daw
Ua koj tsaug!,Hmong Daw
Meldo.,Ladino
El Djudaismo es una relijion muy ekselente.,Ladino
Sos un buen gato.,Ladino
אייוס דיספאריסיירון.,Ladino
El Dio me kreo.,Ladino
Ne puščaj odprtih vrat.,Slovenian
Naj bo kratko in jedrnato.,Slovenian
Pogrej me.,Slovenian
"Pripravljen sem, da vam pomaga.",Slovenian
"Danes ne morem priti, jutri pa tudi ne.",Slovenian
Nde tavy.,Guarani
Nde rejavy!,Guarani
Ha'e chereja reíma.,Guarani
Peẽ pepurahéi kuri.,Guarani
"Nderasýva ramo, reho arã tasyópe.",Guarani
Кытайча үйрөнүп жатасызбы?,Kirghiz
Сага ачуу тамактар жагабы?,Kirghiz
Том барбай турганын билет.,Kirghiz
Жөн гана мени менен кал.,Kirghiz
Фотоаппаратымды тийбе.,Kirghiz
Ek gee om oor hulle.,Afrikaans
Daar is soveel wat ek vir jou wil sê.,Afrikaans
Is hy so mal dat hy dit glo?,Afrikaans
Versigtig! Pasop!,Afrikaans
Hy is lief vir aandag.,Afrikaans
Am faod mi faighneachd dè an aois a tha sibh?,Scottish Gaelic
Chan eil airgead sam bith agad.,Scottish Gaelic
Thig an t-acras na 's tric no aon-uair.,Scottish Gaelic
Carson nach eil thu ag èisteachd rium?,Scottish Gaelic
Bha Seumas cinnteach gun robh an trèan a' tighinn.,Scottish Gaelic
Бид хариуг нь хараахан мэдээгүй байна.,Mongolian
Та улс төр сонирхдог уу?,Mongolian
Аав маань надад ном авч өгсөн.,Mongolian
Би Киото явнаа.,Mongolian
Маргааш уулзатлаа баяртай.,Mongolian
Imamo dvije kćeri i dva sina.,Croatian
To je stvarno problem.,Croatian
Nešto ne valja s kočnicama.,Croatian
Već sam pokušao.,Croatian
Moj mač je moj život.,Croatian
Manakadai zou daa diau do kuukuamaon do daamin nu.,Coastal Kadazan
Doiti no tokou!,Coastal Kadazan
"Mantad di nopodsuan ku, au' zou koongou do talipaun.",Coastal Kadazan
Songkuo tinama' sumovohi ko do hamin di tapa ku kumaa do id pasar!,Coastal Kadazan
"Hei. Kavasa ko naku mokinongou do tuunizon? ""Au, soou ku do mositi no pongusapan nu--"" ""Koongou zou... di kihoogo.""",Coastal Kadazan
Jiddereen huet gelaacht.,Luxembourgish
Den Tom ass Geschäftsmann.,Luxembourgish
Dëse Mann huet mir mäi Portefeuille geklaut.,Luxembourgish
Jo.,Luxembourgish
Du bass keng Fra.,Luxembourgish
আমি তৈরি।,Bengali
এটা হতে পারে না!,Bengali
থামো না।,Bengali
আমি ভাবলাম টমের এটা ভাল লাগবে।,Bengali
আমি তোমাদের জন্য রান্না করতে চাই।,Bengali
"Natoka Brasil, wewe je?",Swahili (individual language)
Afadhali kuwa jirani wa mbuga kuliko kuwa jirani wa mwenye mdomo mrefu.,Swahili (individual language)
Nina paka.,Swahili (individual language)
"Je, una wasiwasi?",Swahili (individual language)
Unaweza kusema ukweli.,Swahili (individual language)
"claro, sem problemas.",Portugeese
com certeza vá.,Portugeese
"Por exemplo, o Meta-Wiki fornece estatísticas importantes em todas as versões da Wikipédia e mantém uma lista dos artigos essenciais, que devem constar em todas as edições do projeto.",Portugeese
"Eu não me importo se alguém está perguntando algo e esta é uma decisão muito fácil para você, como se alguém dissesse para você pegar meu 1 milhão de dólares e você dissesse que isso é um acéfalo.",Portugeese
"[187] O site de comédia CollegeHumor produziu um esboço de vídeo chamado ""Professor Wikipédia"", em que o fictício Professor Wikipédia instrui uma classe com várias declarações inverificáveis e, ocasionalmente, absurdas.",Portugeese
"Никуыдæм ма ацу иунæгæй, хорз?",Ossetian
Мæ къух сыхд уыди,Ossetian
"Æз раст дзурын , Том .",Ossetian
"Дон , табуафси.",Ossetian
Къогъотæ мæ уарзынц.,Ossetian
Koe gartonga me kenibel !,Kotava
Tí gabentaf kire batlize me tigil.,Kotava
Til tel lokiewaf.,Kotava
Me albá inde in pulvir.,Kotava
In tir oklaf kiren gadikye tiyir opikany.,Kotava
ஒரு சதுரத்திற்கு நான்கு பக்கங்கள் உள்ளன,Tamil
நீங்கள் சொல்லிக் கொண்டிருந்தீர்கள்.,Tamil
இன்றிரவு இரவு உணவிற்கு பீட்சா சாப்பிடுவது எப்படி?,Tamil
இதற்கு யோ எனக்கு உதவ முடியுமா என்று நான் யோசித்துக்கொண்டிருந்தேன்.,Tamil
அவள் யார்?,Tamil
Alaid nangku iyolo poingiyon hiti'd watas?,Kadazan Dusun
Ogumu rombituon id tawan.,Kadazan Dusun
Kaakan iti?,Kadazan Dusun
Milo' i Tom mongoi gulu?,Kadazan Dusun
Honggo tiso pogun di minongoi nu id tadau-adau diti?,Kadazan Dusun
Бидэ һархяаг түүгээбди.,Buriat
Хэ. Бү хэлэ.,Buriat
Энэ ямар шүүһэн бэ?,Buriat
Би шамда ном бэлэглэнэб.,Buriat
Би танай багшаб.,Buriat
Mípagnánu kayú?,Pampanga
Métung yang táung makí malálam a bélwán.,Pampanga
Lúpa yang asnáng kamál ing riló mu.,Pampanga
Kákawé ya i Tom.,Pampanga
Núkarín ka?,Pampanga
Al' met s'motte d'arbe à l'abri.,Picard
T'es fin biau !,Picard
"Viens min garchon, assis-te. Assis-te et repose-te.",Picard
El Walonnie ch'est un bieau païs.,Picard
J'sais qu' t'es innochint.,Picard
Átaremma i ëa han ëa · na aire esselya · aranielya na tuluva · na care indómelya cemende tambe Erumande : ámen anta síra ilaurëa massamma · Ar ámen apsene úcaremmar sív' emme apsenet tien i úcarer emmen. Álame tulya úsahtienna mal áme etelehta ulcullo : násie :,Quenya
Aiya!,Quenya
Elen siluva lúmenna omentielva.,Quenya
Massë cénatyes?,Quenya
Tulallë.,Quenya
"Binob is, o flens oba.",Volapük
Ätüvom steli nulik.,Volapük
No binob ol.,Volapük
Kafibötöp binon smalik.,Volapük
